Name,Aliases,Country,Category,Type,Color,PPG,Recipes
Abbey Malt,,German,Grain,Base malt,17,33,2049
Acerola,,,Fruit,Fruit,0,1.5,4
Acidulated Malt,,German,Grain,Acidulated malt,3.4,27,24758
Agave Nectar,,,Sugar,Sugar,2,52.5,36
Ale Malt,,New Zealand,Grain,Base malt,3.04569,37.4,433
Ale Malt,,Ireland,Grain,Base malt,3,37,572
Amber,,United Kingdom,Grain,Base malt,27,32,8082
American Ale Malt,,New Zealand,Grain,Base malt,2.53807,37.3,442
Apple,,,Fruit,Fruit,0,5.6,402
Apricot,,,Fruit,Fruit,0,4.05,157
Apricot (dried),,,Fruit,Fruit,0,17.9,23
Aromatic,,Belgian,Grain,Roasted malt,38,33,11734
Aromatic Malt,,American,Grain,Base malt,20,35,7735
Ashbourne Mild,,American,Grain,Base malt,5.3,30,660
Aurora Malt,,New Zealand,Grain,Base malt,29.4416,37.2,78
Banana,,,Fruit,Fruit,0,7.65,66
Belgian Candi Sugar - Amber/Brown (60L),,,Sugar,Sugar,60,38,2779
Belgian Candi Sugar - Clear/Blond (0L),,,Sugar,Sugar,0,38,7566
Belgian Candi Sugar - Dark (275L),,,Sugar,Sugar,275,38,2610
Belgian Candi Syrup - Amber (40L),,,Sugar,Sugar,40,32,2173
Belgian Candi Syrup - Clear (0L),,,Sugar,Sugar,0,32,2654
Belgian Candi Syrup - D-180,,,Sugar,Sugar,180,32,1002
Belgian Candi Syrup - D-45,,,Sugar,Sugar,45,32,566
Belgian Candi Syrup - D-90,,,Sugar,Sugar,90,32,724
Belgian Candi Syrup - D2 (160L),,,Sugar,Sugar,160,32,740
Belgian Candi Syrup - Dark (80L),,,Sugar,Sugar,80,32,2301
Belgian Candi Syrup - Golden (5L),,,Sugar,Sugar,5,32,232
Biscuit,,Belgian,Grain,Roasted malt,23,35,21870
Biscuit Malt,,New Zealand,Grain,Roasted malt,30.4569,35,227
Black Barley,,American,Grain,Roasted malt,530,27,2922
Black Malt,,American,Grain,Roasted malt,500,28,13630
Black Malt,,Finland,Grain,Roasted malt,526,30,676
Black Patent,,United Kingdom,Grain,Roasted malt,525,27,14513
Blackberry,,,Fruit,Fruit,0,3.6,152
Blackprinz,,American,Grain,Roasted malt,500,36,3433
Blueberry,,,Fruit,Fruit,0,4.95,253
Bohemian Pilsner,,German,Grain,Base malt,1.9,38,5444
Bonlander Munich,,American,Grain,Base malt,10,36,2186
Boysenberry,,,Fruit,Fruit,0,2.5,2
Brown,,United Kingdom,Grain,Roasted malt,65,32,9789
Brown Malt,,New Zealand,Grain,Roasted malt,90.3553,34,163
Brown Rice Syrup - Gluten Free,,,Sugar,Raw,2,44,397
Brown Sugar,,,Sugar,Sugar,15,45,13825
Buckwheat Malt - Gluten Free,,American,Grain,Gluten-free malt,2,25,214
Cane Sugar,,,Sugar,Sugar,0,46,22707
Cantaloupe,,,Fruit,Fruit,0,3.4,2
Cara 20L,,Belgian,Grain,Crystal malt,22,34,3615
Cara 45L,,Belgian,Grain,Crystal malt,42,34,3219
Cara Malt,,United Kingdom,Grain,Crystal malt,17.5,35,8674
Cara Pale,,Finland,Grain,Crystal malt,4,35,1228
Cara Plus 100,,Finland,Grain,Crystal malt,38,35,246
Cara Plus 150,,Finland,Grain,Crystal malt,57,35,341
Cara Plus 200,,Finland,Grain,Crystal malt,76,35,134
Cara Plus 250,,Finland,Grain,Crystal malt,94,35,51
CaraAmber,,German,Grain,Crystal malt,23,34,4488
CaraAroma,,German,Grain,Crystal malt,130,34,6891
CaraBelge,,German,Grain,Crystal malt,13.6,33,1307
CaraBohemian,,German,Grain,Crystal malt,75,33,1374
CaraBrown,,American,Grain,Roasted malt,55,34,1735
