Alpha Acid Composition,Alpha Acid Composition,Aliases,Beta Acid Composition,Beta Acid Composition,Caryophyllene Oil,Characteristics,Co-Humulone Composition,Co-Humulone Composition,Cone Density,Cone Size,Country,Ease of Harvest,East of Harvest,Farnesene Oil,Growth Rate,Humulene Oil,Humulene Oil Composition,Myrcene Oil,Myrcene Oil Composition,Name,Purpose,Resistant to,Seasonal Maturity,Storability,Style Guide,Substitutes,Susceptible to,Total Oil,Total Oil Composition,Yield Amount,Yield Amount, Style Guide, Substitutes
13%-16.2%,,,4.8%-6.1%,,6%-7%,Aggressive but smooth bittering with an orange-citrus and herbal resonance,37%-45%,,Compact,Small to medium,UK,,Easy to moderate,1.8%-2.2%,Very high,,23%-26%,,39%-48%,Admiral,Bittering,Resistant to verticillium wilt and downy mildew,Mid,Retains 85% alpha acid after 6 months storage at 20 degrees C,"Extra Special Bitter, American India Pale Ale, Belgian India Pale Ale, Imperial India Pale Ale, India Pale Ale, Pale Ale, Bitter"," Chinook, Northdown, Challenger, Centennial, Cascade (US), Amarillo, Target",Susceptible to powdery mildew,,1-1.7 mL/100g,1300-1900 kg/hectare (1160-1700 lbs/acre),,,
9%-14%,,,4%-6.5%,, 8%-10%,Strong spicy and herbal notes,4%-6.5%,,,,Czech Republic,,, < 1%,,, 15%-20%,, 40%-55%,Agnus,Bittering & Aroma,,, Fair to poor,"Czech Pilsner, German Lager, Pale Ale",,,, 2.0-3.0 mL/100g,,,,
15%-20%,,,5.5%-8%,,14%-20%,"Sharp, clean bittering, grapefruit notes",23%-28%,,Compact, Small to medium,US,Fair,,1%,Moderate,,20%-35%,,30%-50%,Apollo,Bittering,Resistant to downy mildew,Mid to late,Retains 80%-90% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, Imperial India Pale Ale, Experimental Beers","Nugget, Columbus, Zeus, Magnum, Millennium",Susceptible to powdery mildew,,1.5-2.5 mL/100g,2900-3350 kg/hectare (2600-3000 lbs/acre),,,
8.4%-13%,,,5.3%-8%,,7.7%,"Moderate bittering potential, pleasant aroma",34%,,,, US,,,Trace, Moderate to high,,11.8%,,66.4%,Banner,Bittering,, Early,Retains 43% alpha acid after 6 months storage at 20ºC (68ºF),Bitter,"Aquila, Cluster, Galena", Susceptible to downy mildew,,2.17 mL/100g,2017 kg/hectare (1800 lbs/acre)),,,
15.4%-18.8%,,,6.1%-8%,,8.4%,"Use for bittering only, has no notable aroma",36%-41%,,,, US,,,1.2%,,,7.5%,, 68.2%,Bitter Gold,Bittering,,, Retains 55.6% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, Lager, Pilsner, Bitter, India Pale Ale","Galena, Nugget",,, 0.81-3.92 mL/100g,,,,
14%-17%,,,3%-5%,,10%-12%,"Spicy, earthy, and lightly floral aroma",29%-34%,,Moderate to compact,Medium,US,Difficult,,0%-1%,Very high,,18%-20%,,25%-50%,Bravo,Bittering,Resistant to powdery mildew and verticillium wilt,Late,Retains 70% alpha acid after 6 months storage at 20ºC (68ºF),"India Pale Ale, American Pale Ale, Extra Special Bitter","Columbus, Zeus, Apollo, Magnum, Nugget",Susceptible to downy mildew,,1.6-2.4 mL/100g,2700-3100 kg/hectare (2410-2770 lbs/acre),,,
7.1%-11.3%,,,3.3%-6.1%,,6.5%,Notes of spice and blackcurrant,3.3%-6.1%,,Compact,Small,UK,,Easy,None,Very high,,11.6%,,66.7%,Brewer’s Gold,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Late,Retains 60%-70% alpha acid after 6 months storage at 20ºC (68ºF),"Ale, American Pale Ale, Bitter, Barley Wine, Imperial Stout","Bullion, Cascade, Galena, Northern Brewer (US), Northdown",,,1.96 mL/100g,1760-2400 kg/hectare (1570-2140 lbs/acre),,,
8.1%-13.1%,,,3.7%-6.8%,,35%,,41%,,,Medium,US,,,Trace,,,35%,,40%,Brewer’s Gold (US),Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew, virus free",Late, Poor,India Pale Ale,"Bullion, Cascade, Galena, Northern Brewer, Northdown",,,1.8 mL/100g,1681-2690 kg/hectare (1500-2400 lbs/acre),,,
6.7%-12.9%,,,3.7%-9.1%,,9%-11%,Elements of spice and dark fruits,39%,,Compact,Medium,UK,Difficult,,None,Very high,,23%-30%,,45%-55%,Bullion,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Early,Retains 40%-50% alpha acid after 6 months storage at 20ºC (68ºF),"Stout, Doppelbock, Barley Wine, Imperial Stout","Columbus, Northern Brewer, Galena, Chinook, Brewer’s Gold",Infected with most viruses,,1.14-2.70 mL/100g,2000-2400 kg/hectare (1780-2140 lbs/acre),,,
8%-13.8%,,,2.8%-6.9%,,7%, Same as Bullion,42%,,, Small to medium,,,,0.2%,Very high,,12%,,63%,Bullion 10A,Bittering,"Resistant to verticillium wilt, moderately resistant to downy mildew",Early,Poor,"Stout, Doppelbock, Barley Wine, Imperial Stout"," Columbus, Northern Brewer, Galena, Chinook, Brewer’s Gold",,,1.55 mL/100g,2240-2800 kg/hectare (2000-2500 lbs/acre),,,
