Aliases,Laboratory,Name,Type,Alcohol Tolerance,Flocculation,Attenuation,Minimum Temp F,Maximum Temp F
A01 House,Imperial Yeast,A01 House,Ale,,High,73,62,70
A04 Barbarian,Imperial Yeast,A04 Barbarian,Ale,,Medium,73,62,70
A05 Four Square,Imperial Yeast,A05 Four Square,ale,,High,68,64,72
A07 Flagship,Imperial Yeast,A07 Flagship,Ale,,Medium-low,73,60,72
A09 Pub,Imperial Yeast,A09 Pub,Ale,,Very High,69,64,70
A10 Darkness,Imperial Yeast,A10 Darkness,Ale,,Medium,71,62,72
A13 Sovereign,Imperial Yeast,A13 Sovereign,Ale,,Medium-low,73,60,70
A15 Independence,Imperial Yeast,A15 Independence,Ale,,Medium,72,62,72
A18 Joystick,Imperial Yeast,A18 Joystick,Ale,,Medium High,73,60,70
A20 Citrus,Imperial Yeast,A20 Citrus,Ale,,Low,74,67,80
A24 Dry Hop,Imperial Yeast,A24 Dry Hop,Ale,,Medium,76,64,74
A31 Tartan,Imperial Yeast,A31 Tartan,Ale,,Medium,72.5,65,70
A38 Juice,Imperial Yeast,A38 Juice,Ale,,Medium,74,64,74
A43 Loki,Imperial Yeast,A43 Loki,Ale,,Medium High,80,60,100
Abbaye Ale Yeast,Danstar,,Ale,0.12,Med/High,75,63,77
Abbey Ale Yeast,White Labs,WLP530,Ale,High,Med-High,77.5,66,72
Abbey IV Ale Yeast,White Labs,WLP540,Ale,High,Medium,78,66,72
Achouffe Belgian Ale yeast,GigaYeast,GY003,Ale,,Med-Low,82.5,68,77
All The Bretts,Omega Yeast Labs,OYL-218,Brettanomyces,11% ABV,Low,85,68,85
Alt Ale,Siebel Institute,BRY 144,Ale,n/a,Medium,78,59,68
Altstadt Ale,GigaYeast,GY016,Ale,,Low,79,55,68
Amalgamation - Brett Super Blend,The Yeast Bay,,Ale,n/a,Low,85,65,78
American Ale,Wyeast,1056,Ale,0.1,Med-Low,75,60,72
American Ale,Siebel Institute,BRY 96,Ale,n/a,Medium,78,64,72
American Ale II,Wyeast,1272,Ale,0.1,High,74,60,72
American Ale Yeast Blend,White Labs,WLP060,Ale,Med-High,Medium,76,68,72
